model,game,frequency,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,playerStanding_mean,playerScore_mean,playerSpeed_mean,playerIsGrounded_mean,playerIsMidAir_mean,playerIsLooping_mean,playerIsCrashing_mean,playerIsOffRoad_mean,playerGasPedal_mean,playerSteering_mean,playerLap_mean,playerDistanceToWayPoint_mean,playerRespawn_mean,visibleBotCount_mean,botStanding_mean,botScore_mean,botSpeed_mean,botIsGrounded_mean,botIsLooping_mean,botIsOffRoad_mean,botIsCrashing_mean,botGasPedal_mean,botSteering_mean,botLap_mean,botDistanceToWayPoint_mean,botPlayerDistance_mean,visibleLoopCount_mean,playerStanding_ci,playerScore_ci,playerSpeed_ci,playerIsGrounded_ci,playerIsMidAir_ci,playerIsLooping_ci,playerIsCrashing_ci,playerIsOffRoad_ci,playerGasPedal_ci,playerSteering_ci,playerLap_ci,playerDistanceToWayPoint_ci,playerRespawn_ci,visibleBotCount_ci,botStanding_ci,botScore_ci,botSpeed_ci,botIsGrounded_ci,botIsLooping_ci,botIsOffRoad_ci,botIsCrashing_ci,botGasPedal_ci,botSteering_ci,botLap_ci,botDistanceToWayPoint_ci,botPlayerDistance_ci,visibleLoopCount_ci,scores_raw,arousal_raw,cluster
random,solid,Synchronized,Ordinal,Classification,Maximize,0,10,0.0042,0.0094,0.1,0.2262,0.0042,0.0094,0.815,0.0603,3.9946663,0.009,7.289562,0.9998167,0.00018333334,0.00008333333,0,0.7284833,0.009833333,0.032037333,0,212.39864,0,0.49864998,0.49256945,2.4210353,11.053694,0.2320687,0.0028971357,0.009202436,0,0.15327749,0.01391464,0.18536893,31.670374,33.302074,0.9859667,0.0019,0.0204,0.5533,0.0003,0.0003,0.0002,0,0.0627,0.0273,0.0401,0,50.7752,0,0.0233,0.0297,0.2048,0.3398,0.0105,0.0015,0.0029,0,0.0057,0.007,0.0254,1.3953,2.8162,0.0269,"[0.041666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.041666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
PPO,solid,Synchronized,Ordinal,Classification,Maximize,0,9,0.912,0.098,21.8889,2.3518,0.7083,0.1086,0.755,0.0747,1.49225687980652,11.1484413146973,45.7514190673828,0.988980054855347,0.0110199097543955,0.0403923913836479,0,0.119336284697056,0.914034008979797,-0.0866337567567825,0.928721725940704,138.881866455078,0,0.479497164487839,0.651083707809448,1.40464305877686,9.85155582427979,0.251860558986664,0.00114432955160737,0.00355639890767634,0,0.156178519129753,-0.0307265445590019,0.0983024686574936,29.1244735717773,23.9056835174561,0.563078165054321,0.5453,0.626,5.4928,0.0064,0.0064,0.0108,0,0.058,0.0272,0.033,0.0994,21.8822,0,0.233,0.2794,1.2473,4.6544,0.1189,0.001,0.0038,0,0.075,0.0216,0.1058,14.113,10.6478,0.0574,"[1.0, 1.0, 0.625, 0.8333333333333334, 1.0, 1.0, 0.8333333333333334, 0.9583333333333334, 0.9583333333333334]","[0.7916666666666666, 0.7916666666666666, 0.4583333333333333, 0.5416666666666666, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.625, 0.8333333333333334]",0
PPO,solid,Synchronized,Ordinal,Classification,Maximize,0.5,10,0.475,0.2921,12.1,6.5255,0.3458,0.2583,0.6226,0.1364,2.98587036132813,5.96051168441773,29.1620693206787,0.996073067188263,0.00392701337113977,0.0447494834661484,0,0.308686882257462,0.686696350574493,-0.0756618529558182,0.379564702510834,161.108764648438,0,0.478364527225494,0.608377575874329,1.46397924423218,10.0835733413696,0.252162754535675,0.00221645622514188,0.00646378006786108,0,0.158180862665176,-0.0155095038935542,0.101388491690159,30.5172309875488,23.747522354126,0.557701408863068,0.9792,3.1503,11.2081,0.003,0.003,0.058,0,0.1549,0.1958,0.1145,0.3226,63.7848,0,0.1631,0.2146,0.7405,3.2857,0.0825,0.002,0.0027,0,0.0534,0.011,0.0656,10.6364,4.4078,0.0986,"[0.25, 0.041666666666666664, 0.375, 0.0, 0.041666666666666664, 1.0, 0.5833333333333334, 1.0, 0.4583333333333333, 1.0]","[0.08333333333333333, 0.041666666666666664, 0.16666666666666666, 0.125, 0.041666666666666664, 0.875, 0.16666666666666666, 0.8333333333333334, 0.25, 0.875]",0
PPO,solid,Synchronized,Ordinal,Classification,Maximize,1,10,0.3208,0.2409,8.6,5.2373,0.2583,0.1649,0.68,0.0601,3.90941667556763,4.38488340377808,22.3092918395996,0.98271656036377,0.0172833316028118,0.027350002899766,0,0.482350021600723,0.385166615247726,0.105171680450439,0.254850000143051,184.851440429688,0,0.425049960613251,0.558801233768463,1.96819567680359,9.48832511901856,0.247418403625488,0.00131207273807377,0.00493093905970454,0,0.150599017739296,-0.021538058295846,0.169004291296005,28.5346622467041,24.8543891906738,0.526250004768372,0.1038,2.6185,7.6758,0.0231,0.0231,0.0393,0,0.1432,0.2981,0.1394,0.2417,49.1558,0,0.1222,0.2181,0.637,2.8886,0.0767,0.0011,0.0049,0,0.0449,0.0225,0.064,7.6326,8.3565,0.1756,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5833333333333334, 0.8333333333333334, 0.5, 0.125, 0.8333333333333334]","[0.0, 0.16666666666666666, 0.125, 0.08333333333333333, 0.16666666666666666, 0.4166666666666667, 0.625, 0.3333333333333333, 0.041666666666666664, 0.625]",0
PPO,solid,Asynchronized,Ordinal,Classification,Maximize,0,10,0.7042,0.1422,17.1,3.0058,0.5475,0.0937,0.5569,0.1028,3.07574105262756,8.5120439529419,35.8745079040527,0.991680502891541,0.00831951573491097,0.030488034710288,0,0.2368154078722,0.764000058174133,-0.127744302153587,0.63387256860733,136.138885498047,0,0.626568913459778,0.852224349975586,1.81887054443359,12.9245586395264,0.337939292192459,0.00125674100127071,0.0027252328582108,0,0.209386065602303,-0.0229620970785618,0.118350945413113,41.4750938415527,24.7009429931641,0.509588062763214,0.693,1.3943,6.7564,0.0064,0.0064,0.0095,0,0.0864,0.1133,0.0457,0.169,21.0553,0,0.1881,0.2901,0.945,4.1462,0.1092,0.001,0.0021,0,0.0678,0.0139,0.0787,14.4688,9.973,0.0617,"[1.0, 0.7916666666666666, 1.0, 0.8333333333333334, 0.75, 0.5833333333333334, 0.5, 0.5, 0.5, 0.5833333333333334]","[0.7, 0.525, 0.625, 0.775, 0.475, 0.55, 0.575, 0.5, 0.325, 0.425]",0
PPO,solid,Asynchronized,Ordinal,Classification,Maximize,0.5,10,0.0167,0.0377,2,3.632,0.8075,0.2377,0.8075,0.2377,3.98725008964539,0.335749983787537,8.02496528625488,0.997183442115784,0.00281666684895754,0.00316666672006249,0,0.599449992179871,0.295000016689301,0.342021375894547,0,221.82536315918,0,0.423716694116592,0.417798042297363,2.00375747680664,9.32047939300537,0.206949189305305,0.000599420571234077,0.00808088295161724,0,0.133894756436348,0.00861681718379259,0.148319438099861,27.958797454834,26.5709037780762,0.871866703033447,0.0056,0.5111,5.4394,0.0032,0.0032,0.0072,0,0.2131,0.3921,0.4683,0,88.9319,0,0.0491,0.0421,0.2277,0.9433,0.0125,0.0006,0.0036,0,0.0091,0.0153,0.0252,3.306,3.5871,0.1978,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.025, 1.0, 0.45, 0.675, 0.925, 1.0, 1.0, 1.0, 1.0, 1.0]",0
PPO,solid,Asynchronized,Ordinal,Classification,Maximize,1,10,0.0292,0.0346,0.7,0.8295,0.94,0.0844,0.94,0.0844,3.98024988174438,0.38280001282692,3.19416165351868,0.999800026416779,0.00020000000949949,0,0,0.803149998188019,0.5753333568573,0.670915961265564,0,174.553558349609,0,0.448100000619888,0.466021299362183,2.27886962890625,10.1055498123169,0.222916394472122,0.00116864335723221,0.00932864472270012,0,0.144415616989136,0.00961771421134472,0.18224161863327,29.9494972229004,29.1459865570068,0.837466597557068,0.0184,0.4655,3.2399,0.0005,0.0005,0,0,0.2366,0.3042,0.308,0,22.7946,0,0.0455,0.0592,0.2575,0.9599,0.0201,0.0017,0.0049,0,0.0119,0.018,0.0425,1.9452,3.6285,0.22,"[0.0, 0.0, 0.08333333333333333, 0.125, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.95, 1.0, 0.875, 0.625, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0]",0
PPO,solid,Synchronized,Ordinal,Classification,Minimize,0.5,10,0.3583,0.2935,10.2,6.0962,0.2333,0.1289,0.5533,0.1905,3.43132710456848,5.59801387786865,21.9300346374512,0.94138890504837,0.0586111061275005,0.0850957334041596,0,0.240123480558395,0.215790584683418,0.0525956526398659,0.294069230556488,121.377395629883,0,0.656884551048279,0.788210809230804,2.66212844848633,12.9829845428467,0.333851158618927,0.00522451847791672,0.00430020922794938,0,0.208718657493591,-0.034619577229023,0.218043759465218,39.998966217041,24.0482978820801,0.437487602233887,0.6654,2.6069,11.8105,0.1186,0.1186,0.1196,0,0.2236,0.4621,0.2475,0.2871,43.5692,0,0.398,0.4739,2.0288,7.6577,0.1866,0.0068,0.0049,0,0.1198,0.0216,0.1787,23.4398,12.6314,0.1987,"[0.08333333333333333, 0.25, 0.0, 0.0, 0.0, 0.5833333333333334, 0.8333333333333334, 0.8333333333333334, 1.0, 0.0]","[0.041666666666666664, 0.16666666666666666, 0.16666666666666666, 0.125, 0.041666666666666664, 0.5833333333333334, 0.20833333333333334, 0.5, 0.2916666666666667, 0.20833333333333334]",0
PPO,solid,Synchronized,Ordinal,Classification,Minimize,1,9,0.3102,0.2617,8.6667,5.5563,0.2222,0.1633,0.5861,0.1541,3.97583341598511,4.16274070739746,22.7906246185303,0.995981514453888,0.00401851860806346,0.010166666470468,0,0.355111092329025,0.367222189903259,-0.186765551567078,0.213055551052094,151.549438476563,0,0.472370356321335,0.524501979351044,1.56350243091583,9.35628795623779,0.240018367767334,0.00109860918018967,0.00270414468832314,0,0.148753196001053,-0.0211754124611616,0.119051150977612,27.7314414978027,23.2198848724365,0.636092603206635,0.0148,2.4739,10.0329,0.0033,0.0033,0.0094,0,0.2146,0.2627,0.2686,0.2222,40.5226,0,0.0777,0.075,0.6047,1.6935,0.0346,0.0012,0.002,0,0.022,0.0161,0.0609,4.6752,8.2156,0.1469,"[0.0, 0.041666666666666664, 0.0, 0.125, 0.0, 0.7083333333333334, 0.7083333333333334, 0.75, 0.4583333333333333]","[0.125, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.0, 0.4166666666666667, 0.5416666666666666, 0.5, 0.25]",0
PPO,solid,Asynchronized,Ordinal,Classification,Minimize,0.5,10,0.05,0.0576,4.2,3.4357,0.8325,0.1398,0.8325,0.1398,3.94241666793823,2.13406658172607,12.5049343109131,0.99905002117157,0.000950000074226409,0.0010166666470468,0,0.425483375787735,-0.0328333303332329,-0.578061282634735,0.0464833341538906,179.521942138672,0,0.420066654682159,0.470842599868774,1.94168341159821,8.45594787597656,0.219517514109612,0.000704507809132338,0.0038634822703898,0,0.13699933886528,-0.0115088867023587,0.178706899285316,28.1229400634766,19.0689334869385,0.542199969291687,0.1038,1.5394,5.7888,0.0011,0.0011,0.0023,0,0.2004,0.3865,0.283,0.1052,51.1232,0,0.0766,0.0979,0.3497,1.8688,0.0366,0.001,0.0023,0,0.0245,0.016,0.0374,5.6063,6.9637,0.2366,"[0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.8, 0.875, 0.7, 0.525, 0.5, 0.95, 0.975, 1.0, 1.0, 1.0]",0
